distributionname,basename,releasetype,packagemanager,supportedarch,yearofcreation,homepage,distrowatchrank,targetuse,supportedde,wikipage,developername
Linux Mint;Ubuntu;point release;apt;x64;2006;https://linuxmint.com;3;general;Linux_Mint;Cinnamon,XFCE,MATE;Clement Lefebvre
Debian;independent;point release;apt;x86, x64;1993;https://debian.org;6;general, server;Debian;KDE Plasma,Gnome,XFCE,Cinnamon,MATE,LXDE,LXQt;Ian Murdock
Kali Linux;Debian;point release;apt;x86, x64, ARM (some devices);2013;https://kali.org;23;cybersecurity, pentesting;Kali_Linux;XFCE;Mati Aharoni
ArchLinux;independent;rolling release;pacman;x64;2002;https://archlinux.org;15;general;Arch_Linux;;Judd Vinet
Qubes OS;independent;point release;dnf;x64;2012;https://qubes-os.org;96;general, security, privacy;Qubes_OS;KDE Plasma,XFCE;Joanna Rutkowska
Fedora;independent;point release;dnf;x64;2003;https://getfedora.org;8;general, server;Fedora_(operating_system);KDE Plasma,Gnome,XFCE,LXQt,MATE,Cinnamon,LXDE,SOAS;Warren Togami
ManjaroLinux;ArchLinux;rolling release;pacman;x86, x64, ARM (some devices);2011;https://manjaro.org;2;general;Manjaro;KDE Plasma,Gnome,XFCE;Philip Müller
Ubuntu;Debian;point release;apt;x64;2004;https://ubuntu.com;4;general, server;Ubuntu;KDE Plasma,Gnome,XFCE,DeepinDE,LXQt,Budgie,Mate;Mark Shuttleworth
Pop!_OS;Ubuntu;point release;apt;x64;2017;https://system76.com/pop;5;general;Pop!_OS;Gnome;Carl Richell,Erik Fetzer
ElementaryOS;Ubuntu;point release;apt;x64;2011;https://elementry.io;7;general;Elementary_OS;Pantheon;Daniel Foré
